Week,Date Range,Meal,Most Consumed Dishes (kg),Least Consumed Dishes (kg)
May2024_week3,15/05/2024-21/05/2024,Breakfast,Upma: 379.51; Idli: 273.92; Puri: 224.46,Aloo Paratha: 43.57; Poha: 59.21; Samosa: 78.39
May2024_week3,15/05/2024-21/05/2024,Lunch,Rice: 1989.59; Sambar: 763.46; Mixed Vegetables: 685.42,Rasam: 204.97; Curd Rice: 212.62; Dal Tadka: 213.85
May2024_week3,15/05/2024-21/05/2024,Dinner,Roti: 2507.01; Paneer Butter Masala: 1584.17; Shahi Paneer: 975.35,Dal Makhani: 584.77; Chana Masala: 589.75; Tandoori Roti: 592.88
May2024_week4,22/05/2024-28/05/2024,Breakfast,Upma: 309.05; Samosa: 300.57; Puri: 299.60,Aloo Paratha: 43.39; Chole Bhature: 57.99; Idli: 94.25
May2024_week4,22/05/2024-28/05/2024,Lunch,Rice: 1986.04; Mixed Vegetables: 779.47; Palak Paneer: 729.00,Chole: 219.51; Rajma: 262.06; Rasam: 415.96
May2024_week4,22/05/2024-28/05/2024,Dinner,Roti: 2221.98; Tandoori Roti: 1141.44; Paneer Butter Masala: 652.04,Paneer Tikka: 298.31; Aloo Gobi: 314.26; Bhindi Fry: 598.68
May2024_week5,29/05/2024-31/05/2024,Breakfast,Idli: 177.93; Chole Bhature: 124.84; Dosa: 91.99,Aloo Paratha: 43.12; Poha: 57.92; Upma: 75.18
May2024_week5,29/05/2024-31/05/2024,Lunch,Rice: 778.90; Rajma: 585.90; Dal Tadka: 274.94,Sambar: 200.10; Rasam: 206.04; Palak Paneer: 215.70
May2024_week5,29/05/2024-31/05/2024,Dinner,Roti: 951.94; Tandoori Roti: 642.73; Paneer Butter Masala: 309.95,Dal Makhani: 286.26; Chana Masala: 296.50; Paneer Tikka: 301.85
Jun2024_week1,01/06/2024-07/06/2024,Breakfast,Medu Vada: 363.14; Chole Bhature: 239.75; Puri: 229.56,Aloo Paratha: 87.96; Upma: 151.63; Dosa: 178.16
Jun2024_week1,01/06/2024-07/06/2024,Lunch,Rice: 2027.92; Palak Paneer: 785.51; Chole: 699.68,Curd Rice: 218.42; Sambar: 262.50; Rajma: 280.23
Jun2024_week1,01/06/2024-07/06/2024,Dinner,Roti: 2136.94; Tandoori Roti: 920.20; Aloo Gobi: 862.36,Paneer Tikka: 269.07; Paneer Butter Masala: 307.83; Bhindi Fry: 590.05
Jun2024_week2,08/06/2024-14/06/2024,Breakfast,Dosa: 362.79; Poha: 239.19; Medu Vada: 181.45,Puri: 72.02; Samosa: 74.58; Aloo Paratha: 85.66
Jun2024_week2,08/06/2024-14/06/2024,Lunch,Rice: 1934.65; Mixed Vegetables: 796.68; Sambar: 671.08,Rajma: 216.42; Rasam: 218.07; Palak Paneer: 258.50
Jun2024_week2,08/06/2024-14/06/2024,Dinner,Roti: 2150.12; Chana Masala: 1211.67; Bhindi Fry: 911.77,Tandoori Roti: 296.91; Paneer Butter Masala: 306.80; Shahi Paneer: 314.28
Jun2024_week3,15/06/2024-21/06/2024,Breakfast,Puri: 298.42; Dosa: 267.96; Idli: 266.68,Aloo Paratha: 43.76; Chole Bhature: 60.43; Medu Vada: 116.47
Jun2024_week3,15/06/2024-21/06/2024,Lunch,Rice: 1833.65; Mixed Vegetables: 596.19; Chole: 588.84,Dal Tadka: 261.30; Rajma: 285.45; Curd Rice: 413.02
Jun2024_week3,15/06/2024-21/06/2024,Dinner,Roti: 2341.55; Paneer Butter Masala: 1257.12; Shahi Paneer: 946.49,Paneer Tikka: 292.73; Bhindi Fry: 309.80; Tandoori Roti: 355.52
Jun2024_week4,22/06/2024-28/06/2024,Breakfast,Idli: 362.17; Puri: 301.76; Upma: 301.25,Chole Bhature: 60.42; Poha: 62.36; Aloo Paratha: 92.38
Jun2024_week4,22/06/2024-28/06/2024,Lunch,Rice: 1801.43; Mixed Vegetables: 869.87; Dal Tadka: 798.71,Sambar: 199.66; Rajma: 210.82; Palak Paneer: 273.06
Jun2024_week4,22/06/2024-28/06/2024,Dinner,Roti: 1947.56; Bhindi Fry: 1349.90; Dal Makhani: 607.48,Chana Masala: 243.69; Paneer Butter Masala: 295.71; Paneer Tikka: 323.88
Jun2024_week5,29/06/2024-30/06/2024,Breakfast,Dosa: 181.47; Chole Bhature: 121.35; Samosa: 74.11,Medu Vada: 62.56; Samosa: 74.11; Chole Bhature: 121.35
Jun2024_week5,29/06/2024-30/06/2024,Lunch,Rice: 583.84; Curd Rice: 257.79; Rasam: 235.12,Dal Tadka: 209.38; Rajma: 211.80; Rasam: 235.12
Jun2024_week5,29/06/2024-30/06/2024,Dinner,Roti: 583.14; Chana Masala: 310.82; Paneer Tikka: 299.19,Tandoori Roti: 291.01; Aloo Gobi: 298.66; Paneer Tikka: 299.19
Jul2024_week1,01/07/2024-07/07/2024,Breakfast,Upma: 304.91; Dosa: 266.91; Puri: 228.61,Medu Vada: 59.92; Samosa: 75.32; Idli: 85.94
Jul2024_week1,01/07/2024-07/07/2024,Lunch,Rice: 2062.64; Sambar: 994.59; Curd Rice: 655.29,Rajma: 214.00; Palak Paneer: 289.34; Rasam: 302.85
Jul2024_week1,01/07/2024-07/07/2024,Dinner,Roti: 2327.44; Paneer Butter Masala: 963.09; Shahi Paneer: 630.35,Tandoori Roti: 228.01; Chana Masala: 595.24; Bhindi Fry: 595.38
Jul2024_week2,08/07/2024-14/07/2024,Breakfast,Puri: 375.24; Samosa: 224.78; Upma: 221.59,Medu Vada: 60.44; Aloo Paratha: 93.34; Dosa: 181.03
Jul2024_week2,08/07/2024-14/07/2024,Lunch,Rice: 1883.36; Rajma: 835.83; Dal Tadka: 738.92,Palak Paneer: 220.45; Chole: 295.55; Mixed Vegetables: 675.47
Jul2024_week2,08/07/2024-14/07/2024,Dinner,Roti: 2153.85; Paneer Tikka: 1414.62; Bhindi Fry: 873.01,Aloo Gobi: 543.13; Dal Makhani: 585.59; Shahi Paneer: 597.40
Jul2024_week3,15/07/2024-21/07/2024,Breakfast,Dosa: 265.09; Idli: 263.98; Samosa: 222.90,Chole Bhature: 57.16; Aloo Paratha: 88.57; Poha: 117.30
Jul2024_week3,15/07/2024-21/07/2024,Lunch,Rice: 1805.91; Chole: 1010.14; Dal Tadka: 582.66,Palak Paneer: 207.58; Rajma: 212.56; Mixed Vegetables: 250.69
Jul2024_week3,15/07/2024-21/07/2024,Dinner,Roti: 2024.29; Dal Makhani: 1180.81; Paneer Tikka: 1122.79,Tandoori Roti: 342.22; Shahi Paneer: 606.35; Bhindi Fry: 986.87
Jul2024_week4,22/07/2024-28/07/2024,Breakfast,Upma: 299.66; Poha: 298.03; Puri: 229.13,Chole Bhature: 57.72; Medu Vada: 62.32; Aloo Paratha: 132.51
Jul2024_week4,22/07/2024-28/07/2024,Lunch,Rice: 1915.29; Sambar: 779.55; Palak Paneer: 693.97,Curd Rice: 213.01; Rajma: 217.83; Rasam: 520.31
Jul2024_week4,22/07/2024-28/07/2024,Dinner,Roti: 2190.95; Bhindi Fry: 1151.61; Shahi Paneer: 862.04,Chana Masala: 232.36; Paneer Butter Masala: 242.32; Paneer Tikka: 243.75
Jul2024_week5,29/07/2024-31/07/2024,Breakfast,Idli: 181.59; Dosa: 178.83; Medu Vada: 116.39,Samosa: 78.28; Aloo Paratha: 89.85; Medu Vada: 116.39
Jul2024_week5,29/07/2024-31/07/2024,Lunch,Rice: 849.39; Palak Paneer: 507.07; Rajma: 289.90,Chole: 205.74; Curd Rice: 208.82; Rasam: 234.66
Jul2024_week5,29/07/2024-31/07/2024,Dinner,Roti: 853.90; Paneer Tikka: 647.25; Bhindi Fry: 302.74,Aloo Gobi: 249.63; Dal Makhani: 291.92; Chana Masala: 297.44
Aug2024_week1,01/08/2024-07/08/2024,Breakfast,Idli: 352.22; Samosa: 299.08; Chole Bhature: 244.03,Dosa: 86.76; Aloo Paratha: 93.45; Poha: 122.43
Aug2024_week1,01/08/2024-07/08/2024,Lunch,Rice: 1972.14; Palak Paneer: 723.35; Chole: 626.83,Rajma: 239.60; Sambar: 278.48; Dal Tadka: 282.51
Aug2024_week1,01/08/2024-07/08/2024,Dinner,Roti: 2194.62; Dal Makhani: 1211.83; Tandoori Roti: 943.09,Paneer Tikka: 323.57; Chana Masala: 527.43; Bhindi Fry: 578.72
Aug2024_week2,08/08/2024-14/08/2024,Breakfast,Idli: 357.55; Dosa: 273.47; Poha: 241.76,Aloo Paratha: 43.91; Medu Vada: 58.71; Samosa: 75.53
Aug2024_week2,08/08/2024-14/08/2024,Lunch,Rice: 1942.54; Curd Rice: 740.39; Mixed Vegetables: 710.31,Palak Paneer: 218.78; Rasam: 263.75; Chole: 699.77
Aug2024_week2,08/08/2024-14/08/2024,Dinner,Roti: 2158.52; Chana Masala: 1542.26; Aloo Gobi: 827.10,Bhindi Fry: 288.68; Tandoori Roti: 335.88; Dal Makhani: 589.87
Aug2024_week3,15/08/2024-21/08/2024,Breakfast,Idli: 274.02; Dosa: 273.75; Upma: 218.73,Poha: 61.45; Medu Vada: 118.62; Chole Bhature: 121.79
Aug2024_week3,15/08/2024-21/08/2024,Lunch,Rice: 1925.58; Palak Paneer: 559.09; Dal Tadka: 539.68,Rajma: 411.09; Chole: 434.09; Curd Rice: 443.57
Aug2024_week3,15/08/2024-21/08/2024,Dinner,Roti: 2115.21; Aloo Gobi: 1118.93; Bhindi Fry: 871.99,Paneer Tikka: 311.57; Dal Makhani: 559.45; Tandoori Roti: 563.63
Aug2024_week4,22/08/2024-28/08/2024,Breakfast,Dosa: 358.73; Idli: 269.91; Upma: 221.69,Puri: 71.33; Samosa: 75.97; Poha: 119.53
Aug2024_week4,22/08/2024-28/08/2024,Lunch,Rice: 1840.68; Rajma: 664.06; Rasam: 578.74,Palak Paneer: 212.20; Sambar: 213.97; Dal Tadka: 287.68
Aug2024_week4,22/08/2024-28/08/2024,Dinner,Roti: 2136.77; Chana Masala: 939.63; Bhindi Fry: 910.04,Tandoori Roti: 288.93; Dal Makhani: 357.19; Aloo Gobi: 484.42
Aug2024_week5,29/08/2024-31/08/2024,Breakfast,Dosa: 174.67; Chole Bhature: 119.39; Aloo Paratha: 89.92,Medu Vada: 57.00; Puri: 71.87; Upma: 77.18
Aug2024_week5,29/08/2024-31/08/2024,Lunch,Rice: 843.76; Dal Tadka: 408.15; Palak Paneer: 259.21,Rasam: 215.03; Sambar: 248.08; Chole: 250.54
Aug2024_week5,29/08/2024-31/08/2024,Dinner,Roti: 1001.51; Shahi Paneer: 625.70; Chana Masala: 313.90,Paneer Butter Masala: 289.88; Aloo Gobi: 289.98; Tandoori Roti: 290.92
